,url,price,beds,sqft,parking,baths,descript,adress,lat,lon,date,cats are OK - purrr,dogs are OK - wooof,air conditioning,furnished,w/d in unit,laundry on site,no laundry on site,no parking,off-street parking,detached garage,dpsf
7511599909,https://chicago.craigslist.org/chc/apa/d/chicago-big-logan-square-studios-hwfeat/7511599909.html,1195,,,street,1,"  Great studio available!      Property Address  2332 N. Spaulding | Chicago, IL 60647     Available: 09/01/2022    Offered By  M. Fishman & Co.     Description  Features here include great living space, ample closets and lots of windows for natural light. Multiple floor plans available - prices start at $1195.  The building features intercom entry, laundry on site, as well as street parking, and walking distance to public transportation.   $350 move in fee, no security deposit.  Please call or text Zach @ 224.770.0588!  Dogs and cats welcome, ask about fees + restrictions.  Our buildings feature on-site laundry, secure entryways and well-maintained landscaping.   Amenities  Free/non permit street parking, laundry on site, bike storage  Details  Beds/Baths: 1.0BA  Rental Terms  Rent: $1,195.00       Available: 09/01/2022     Application Fee: $50.00     Pet Policy  Cats allowed Dogs allowed  ",2330 n spaulding ave,41.923454,-87.710564,2022-07-21 11:56,1,1,0,0,0,1,0,1,0,0,
7511583968,https://chicago.craigslist.org/chc/apa/d/chicago-apartment-for-rent/7511583968.html,2900,2,,,2,"Beautiful brick and timber loft in a boutique elevator building in the heart of Bucktown! This interior facing apartment features 16ft timber ceilings with incredible natural light, hardwood floors, wood-burning fireplace with a gas starter, washer/dryer in unit and a large private balcony. Open concept kitchen has recently painted cabinets, stainless steel appliances and is perfect for entertaining! Primary bedroom has a walk-in closet and a large ensuite bathroom. A second bedroom is perfect for an office space or guests.The building has a common roof deck with stunning skyline views! Heated garage spot with bonus storage space included. Located on a quiet side street lined with trees, this unit is close to the 606, Western Blue line, shops and restaurants. The perfect Bucktown apartment! ",1670 N Claremont Ave Unit 302,41.912003,-87.686226,2022-07-21 11:25,1,1,1,0,1,0,0,0,0,0,
7511573634,https://chicago.craigslist.org/chc/apa/d/chicago-bed-bath-for-rent/7511573634.html,2250,2,,off-street,2,"Charming 2 bedroom/ 2 bathroom unit in the heart of one of the best neighborhoods, East Village boasting spacious private outdoor patio, living area with exposed brick, tall ceilings, with hardwood floors and w/d in-unit. Sizable kitchen has granite counters with overhang for barstools, and stainless appliances. Incredibly spacious bedrooms with Primary bedroom boasting on suite with walk in closet. Central air. Extra storage and communal bike room. PARKING SPACE INCLUDED. Walk to Yuzu, Beatnik, Black Dog Gelato, West Town Bakery/Roots Pizza, , and so much more! Small dogs allowed with a $350 pet fee. ",Rice near wood,41.896932,-87.672254,2022-07-21 11:06,0,1,1,0,1,0,0,0,1,0,
7511572863,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-bed-bath-gut-rehab/7511572863.html,4650,4,,street,3,"TEXT 847-220-2948 FOR FASTEST RESPONSE!!!  PLEASE INCLUDE PRICE AND LOCATION!  I HAVE WALKTHROUGH VIDEO I CAN SEND YOU!  PROPERTY INFO ID: 290895805Rent: $4,650 / MonthBeds: 4Bath: 3Available Date: 09/01/2022Pet: Pet FriendlyRent Includes:: WaterParking:: street parking LAKEVIEW 4 BED 3 BATH  - LARGE UNIQUE LAYOUT W/HIGH CEILINGS  - CUSTOM TOUCHES - ALL NEW KITCHEN AND BATHS - QUARTZ COUNTERTOPS - STAINLESS APPLIANCES - IN-UNIT LAUNDRY - LARGE BEDROOMS - 3 FULL BATHS - BACK DECK - BUILT-IN ALEXA - WI-FI INCLUDED - PETS OK - AVAILABLE FOR AUG 15TH MOVE-IN - PICTURES ARE OF THE COMPLETED ADJOINING BUILDING AND WILL GIVE YOU AN IDEA OF THE FINISHES FEATURESCats OKCentral AirDeckDishwasherDogs OKExposed BrickGut RehabbedHardwood FloorsHigh CeilingsLaundry In UnitNew ConstructionPet FriendlyPrivate DeckQuartz Counter TopsRenovatedStainless Steel Appliances  PLEASE CALL OR TEXT ME AT 847-220-2948 FOR FASTEST RESPONSE!     ",West Cornelia near Seminary,41.945532,-87.656855,2022-07-21 11:04,1,1,0,0,1,0,0,1,0,0,
7511572142,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-bed-bath-new-granite/7511572142.html,2400,3,,off-street,1,"TEXT 847-220-2948 FOR FASTEST RESPONSE!!  PROPERTY INFO ID: 187254017Rent: $2,400 / MonthBeds: 3Bath: 1Available Date: 09/01/2022Pet: No Pets 3 bedrooms, 1 bathroom Lakeview: Wayne @ Waveland  Modern kitchen with dishwasher Hardwood throughout Separate living and dining room Modern bathroom Large bedrooms Central air Free laundry in building Deck Garage parking available FEATURESCentral AirDishwasherHardwood FloorsParking Available  --  Bentley Phillips Leasing   847.220.2948    Square One Team, brokered by Jason Dalka      2851 North Lincoln, Chicago, IL 60657     ",North Wayne,41.947232,-87.662955,2022-07-21 11:03,0,0,0,0,0,1,0,0,1,0,
7511571891,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-bd-ba-new-con-grnt-w/7511571891.html,4300,4,,off-street,3,"TEXT 847-220-2948 FOR FASTEST RESPONSE!!!  PLEASE INCLUDE PRICE AND LOCATION!   PROPERTY INFO ID: 187270169Rent: $4,300 / MonthBeds: 4Bath: 3Available Date: 08/01/2022Pet: Cats Allowed 4 bedroom, 3 bathroom duplex Lakeview: Belmont @ Lakewood  Large duplex-down layout New granite kitchen with dishwasher Sunny living room with fireplace All bedrooms fit queen beds Modern baths with jetted tubs Laundry in unit Outdoor deck space Central air conditioning Tandem parking spot included Near Southport Corridor, Brown & Red Lines, Wrigley Field FEATURESCats OKCentral AirDeckDishwasherDuplexFireplaceHardwood FloorsJacuzzi/WhirlpoolLaundry In UnitMicrowaveNew ConstructionParking Included  --  Bentley Phillips Leasing   847.220.2948    Square One Team, brokered by Jason Dalka      2851 North Lincoln, Chicago, IL 60657     ",West Belmont,41.939632,-87.676055,2022-07-21 11:02,1,0,0,0,1,0,0,0,1,0,
7511570375,https://chicago.craigslist.org/chc/apa/d/chicago-logan-square-studio-by-parsons/7511570375.html,995,0,,street,1,"  Great studio available!     Property Address  1742 N. Humboldt | #209 | Chicago, IL 60647     Available: 09/01/2022    Offered By  M. Fishman & Co.     Description      Features here include pergo floors, modern kitchen and bathroom, tons of natural light and a large closet.  The building features secure intercom entry, security cameras, laundry on site, elevator, plenty of street parking, bike storage, and close proximity to the 606 and public transportation.  $350 move in fee, no security deposit.  Cats only please.  Call or text Nick @ 708.612.1063!    Details  Beds/Baths: 1.0BA  Rental Terms  Rent: $995.00       Available: 09/01/2022     Application Fee: $50.00     Pet Policy  Cats allowed Dogs not allowed  ",1742 n humboldt blvd,41.912579,-87.702736,2022-07-21 11:00,1,0,0,0,0,1,0,1,0,0,
7511569873,https://chicago.craigslist.org/chc/apa/d/chicago-lincoln-park-bed-bath-w-s/7511569873.html,2150,2,,street,1,"TEXT 847-220-2948 FOR FASTEST RESPONSE!!!  PLEASE INCLUDE PRICE AND LOCATION!   PROPERTY INFO ID: 187278860Rent: $2,150 / MonthBeds: 2Bath: 1Available Date: 09/01/2021Pet: Pet FriendlyRent Includes:: WaterParking:: street parking 2 bedrooms, 1 bathroom Lincoln Park:  Schubert @ Lakewood  Granite kitchen with S/S appliances Hardwood floors Private deck Laundry in-unit Enclosed bike storage Cats and Dogs welcome FEATURESCats OKCeiling FanDeckDogs OKHardwood FloorsStainless Steel Appliances  --  Bentley Phillips Leasing   847.220.2948    Square One Team, brokered by Jason Dalka      2851 North Lincoln, Chicago, IL 60657     ",West Schubert near Wayne,41.930732,-87.662454,2022-07-21 10:59,1,1,0,0,1,0,0,1,0,0,
7511568748,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-bed-bath-garden/7511568748.html,1400,2,,street,1,"TEXT 847-220-2948 FOR FASTEST RESPONSE!!!  PLEASE INCLUDE PRICE AND LOCATION! .  ALSO HAVE VIDEO I CAN SEND! PROPERTY INFO ID: 187251879Rent: $1,400 / MonthBeds: 2Bath: 1Available Date: 08/01/2022Pet: No PetsRent Includes:: WaterParking:: street parking Lakeview 2 bedroom, one bath garden unit just off Southport.  Unit features new granite kitchen with dishwasher, new bath, free laundry, yard, new tiles floors, and close to all the Southport shops and transportation. FEATURESA/CDishwasherElectric baseboard heatLaundry in Building  --  Bentley Phillips Leasing   847.220.2948    Square One Team, brokered by Jason Dalka      2851 North Lincoln, Chicago, IL 60657     ",North Bosworth near W Waveland,41.948932,-87.667755,2022-07-21 10:57,0,0,0,0,0,1,0,1,0,0,
7511568309,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-bed-plus-office-one/7511568309.html,1400,2,,street,1,"PLEASE CALL OR TEXT ME AT 847-220-2948 FOR FASTEST RESPONSE!   I HAVE WALKTHROUGH VIDEO I CAN SEND!   PROPERTY INFO ID: 187251879Rent: $1,400 / MonthBeds: 2Bath: 1Available Date: 08/01/2022Pet: No PetsRent Includes:: WaterParking:: street parking Lakeview 2 bedroom, one bath garden unit just off Southport.  Unit features new granite kitchen with dishwasher, new bath, free laundry, yard, new tiles floors, and close to all the Southport shops and transportation. FEATURESA/CDishwasherElectric baseboard heatLaundry in Building  --  Bentley Phillips Leasing   847.220.2948    Square One Team, brokered by Jason Dalka      2851 North Lincoln, Chicago, IL 60657     ",North Bosworth near W Waveland,41.948932,-87.667755,2022-07-21 10:56,0,0,0,0,0,1,0,1,0,0,
