,heading,url,rent,date posted,beds,sqft
7478247745,"Gorgeous Courtyard 1 Bed, Heat Included, No Pets, 6/1,",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-courtyard-bed-heat/7478247745.html,1499,2022-05-01 13:29,1,0
7478245339,1 bed VINTAGE lovely - HT/Wtr Inc - Cat ok,https://chicago.craigslist.org/nch/apa/d/chicago-bed-vintage-lovely-ht-wtr-inc/7478245339.html,1200,2022-05-01 13:24,1,0
7478244851,Logan Square Refreshed 1 Bed 1 Bath 4 Min Walk from California CTA,https://chicago.craigslist.org/chc/apa/d/chicago-logan-square-refreshed-bed-bath/7478244851.html,1375,2022-05-01 13:22,1,600
7478237752,2 Bedroom Apartment Sublease,https://chicago.craigslist.org/chc/apa/d/chicago-bedroom-apartment-sublease/7478237752.html,2800,2022-05-01 13:06,2,0
7478233849,Newly renovated 3 Bedroom,https://chicago.craigslist.org/sox/apa/d/matteson-newly-renovated-bedroom/7478233849.html,1500,2022-05-01 12:57,3,0
7478232584,1 bedroom apartment for rent,https://chicago.craigslist.org/wcl/apa/d/arlington-heights-bedroom-apartment-for/7478232584.html,1500,2022-05-01 12:54,1,850
7478232131,Privately Owned Condo Quality Spacious 2BD.,https://chicago.craigslist.org/chc/apa/d/chicago-privately-owned-condo-quality/7478232131.html,2150,2022-05-01 12:53,2,0
7478231719,Rehabbed Studio With ALL UTILITIES INCLUDED! Steps To Red Line!,https://chicago.craigslist.org/chc/apa/d/chicago-rehabbed-studio-with-all/7478231719.html,975,2022-05-01 12:52,0,0
7478231095,Jr One Bedroom! New construction loft-style building!,https://chicago.craigslist.org/chc/apa/d/chicago-jr-one-bedroom-new-construction/7478231095.html,1962,2022-05-01 12:50,1,0
7478230172,Premier Lincoln Park Upgraded High-Rise 1BD With Granite & Stainless!,https://chicago.craigslist.org/chc/apa/d/chicago-premier-lincoln-park-upgraded/7478230172.html,2515,2022-05-01 12:48,1,0
7478229455,Studio With Floor To Ceiling Windows! Steps To Old Town!,https://chicago.craigslist.org/chc/apa/d/chicago-studio-with-floor-to-ceiling/7478229455.html,1989,2022-05-01 12:47,0,0
7478229077,Superior Building! Superior location! Great Price! Two Bed/ Two Bath!,https://chicago.craigslist.org/chc/apa/d/chicago-superior-building-superior/7478229077.html,3519,2022-05-01 12:46,2,0
7478227251,Affordable Lincoln Square Location! Tons of space!,https://chicago.craigslist.org/chc/apa/d/chicago-affordable-lincoln-square/7478227251.html,1295,2022-05-01 12:42,1,0
7478226945,In Unit Laundry! Stainless steel kitchen!,https://chicago.craigslist.org/chc/apa/d/chicago-in-unit-laundry-stainless-steel/7478226945.html,1225,2022-05-01 12:41,0,0
7478226530,LARGE Studio In Bryn Mawr Historic District! HEAT & COOKING GAS INCL!,https://chicago.craigslist.org/chc/apa/d/chicago-large-studio-in-bryn-mawr/7478226530.html,1027,2022-05-01 12:40,0,0
7478225794,Wicker Park Garden Two Bed! Hot Division and Damen Location!,https://chicago.craigslist.org/chc/apa/d/chicago-wicker-park-garden-two-bed-hot/7478225794.html,1395,2022-05-01 12:38,2,800
